iter	Passed	Remaining
1021	470	450
1022	471	450
1023	471	449
1024	471	448
1025	472	448
1026	472	447
1027	472	447
1028	473	446
1029	473	445
1030	473	445
1031	474	444
1032	474	444
1033	474	443
1034	475	443
1035	475	442
1036	475	441
1037	476	441
1038	476	440
1039	476	440
1040	477	439
1041	477	439
1042	477	438
1043	478	437
1044	478	437
1045	478	436
1046	479	436
1047	479	435
1048	480	435
1049	480	434
1050	480	434
1051	481	433
1052	481	433
1053	482	432
1054	482	432
1055	483	431
1056	483	431
1057	483	430
1058	484	430
1059	484	429
1060	484	429
1061	485	428
1062	485	427
1063	485	427
1064	486	426
1065	486	426
1066	486	425
1067	487	425
1068	487	424
1069	487	423
1070	488	423
1071	488	422
1072	488	422
1073	489	421
1074	489	421
1075	489	420
1076	490	419
1077	490	419
1078	490	418
1079	490	418
1080	491	417
1081	491	417
1082	492	416
1083	492	416
1084	492	415
1085	493	414
1086	493	414
1087	493	413
1088	494	413
1089	494	412
1090	494	412
1091	494	411
1092	495	411
1093	495	410
1094	495	409
1095	496	409
1096	496	408
1097	496	408
1098	497	407
1099	497	407
1100	497	406
1101	498	405
1102	498	405
1103	498	404
1104	499	404
1105	499	403
1106	499	403
1107	500	402
1108	500	402
1109	500	401
1110	500	400
1111	501	400
1112	501	399
1113	502	399
1114	502	398
1115	502	398
1116	502	397
1117	503	397
1118	503	396
1119	503	395
1120	504	395
1121	504	394
1122	504	394
1123	505	393
1124	505	393
1125	505	392
1126	506	392
1127	506	391
1128	507	391
1129	507	390
1130	507	390
1131	507	389
1132	508	388
1133	508	388
1134	508	387
1135	509	387
1136	509	386
1137	509	386
1138	510	385
1139	510	385
1140	510	384
1141	511	384
1142	511	383
1143	511	382
1144	512	382
1145	512	381
1146	512	381
1147	513	380
1148	513	380
1149	513	379
1150	514	379
1151	514	378
1152	514	378
1153	515	377
1154	515	377
1155	515	376
1156	516	376
1157	516	375
1158	516	375
1159	517	374
1160	517	373
1161	517	373
1162	518	372
1163	518	372
1164	518	371
1165	519	371
1166	519	370
1167	519	370
1168	520	369
1169	520	369
1170	520	368
1171	520	368
1172	521	367
1173	521	367
1174	521	366
1175	522	365
1176	522	365
1177	522	364
1178	523	364
1179	523	363
1180	523	363
1181	524	362
1182	524	362
1183	524	361
1184	525	361
1185	525	360
1186	525	360
1187	526	359
1188	526	359
1189	526	358
1190	527	358
1191	527	357
1192	527	357
1193	528	356
1194	528	356
1195	529	355
1196	529	355
1197	529	354
1198	529	354
1199	530	353
1200	530	353
1201	531	352
1202	531	352
1203	531	351
1204	532	351
1205	532	350
1206	532	349
1207	533	349
1208	533	348
1209	533	348
1210	534	347
1211	534	347
1212	534	346
1213	534	346
1214	535	345
1215	535	345
1216	535	344
1217	536	344
1218	536	343
1219	537	343
1220	537	342
1221	537	342
1222	538	341
1223	538	341
1224	538	340
1225	539	340
1226	539	339
1227	539	339
1228	540	338
1229	540	338
1230	540	337
1231	541	337
1232	541	336
1233	541	336
1234	542	335
1235	542	335
1236	542	334
1237	543	334
1238	543	333
1239	543	333
1240	544	332
1241	544	332
1242	544	331
1243	544	331
1244	545	330
1245	545	330
1246	545	329
1247	546	329
1248	546	328
1249	546	328
1250	547	327
1251	547	327
1252	547	326
1253	548	326
1254	548	325
1255	548	325
1256	549	324
1257	549	324
1258	549	323
1259	550	323
1260	550	322
1261	550	322
1262	551	321
1263	551	321
1264	551	320
1265	552	320
1266	552	319
1267	552	319
1268	553	318
1269	553	318
1270	553	317
1271	554	317
1272	554	316
1273	554	316
1274	555	315
1275	555	315
1276	555	314
1277	556	314
1278	556	313
1279	556	313
1280	557	312
1281	557	312
1282	557	311
1283	557	311
1284	558	310
1285	558	310
1286	558	309
1287	559	309
1288	559	308
1289	559	308
1290	560	307
1291	560	307
1292	560	306
1293	561	306
1294	561	305
1295	561	305
1296	562	304
1297	562	304
1298	562	303
1299	563	303
1300	563	302
1301	563	302
1302	564	301
1303	564	301
1304	564	300
1305	565	300
1306	565	299
1307	565	299
1308	566	298
1309	566	298
1310	566	297
1311	567	297
1312	567	296
1313	567	296
1314	568	296
1315	568	295
1316	569	295
1317	569	294
1318	569	294
1319	569	293
1320	570	293
1321	570	292
1322	570	292
1323	571	291
1324	571	291
1325	571	290
1326	572	290
1327	572	289
1328	572	289
1329	573	288
1330	573	288
1331	573	287
1332	574	287
1333	574	286
1334	574	286
1335	575	285
1336	575	285
1337	575	284
1338	576	284
1339	576	283
1340	576	283
1341	577	282
1342	577	282
1343	577	281
1344	577	281
1345	578	280
1346	578	280
1347	578	280
1348	579	279
1349	579	279
1350	579	278
1351	580	278
1352	580	277
1353	580	277
1354	581	276
1355	581	276
1356	581	275
1357	582	275
1358	582	274
1359	582	274
1360	583	273
1361	583	273
1362	583	272
1363	584	272
1364	584	271
1365	584	271
1366	584	270
1367	585	270
1368	585	269
1369	585	269
1370	586	268
1371	586	268
1372	586	267
1373	587	267
1374	587	266
1375	587	266
1376	587	266
1377	588	265
1378	588	265
1379	588	264
1380	589	264
1381	589	263
1382	589	263
1383	590	262
